,Year,Gross domestic product in billion U.S. dollars
0,2024*,92.23
1,2023*,84.98
2,2022*,78.36
3,2021*,72.49
4,2020*,67.24
5,2019*,62.22
6,2018,56.85
7,2017,53.23
8,2016,49.77
9,2015,47.38
10,2014,50.0
11,2013,45.68
12,2012,39.65
13,2011,33.58
14,2010,31.09
15,2009,28.57
16,2008,27.37
17,2007,21.5
18,2006,18.61
19,2005,16.93
20,2004,15.55
21,2003,14.18
22,2002,13.22
23,2001,12.74
24,2000,12.42
25,1999,11.62
26,1998,9.45
27,1997,6.42
28,1996,5.31
29,1995,4.25
30,1994,3.63
31,1993,3.41
32,1992,3.7
33,1991,4.03
34,1990,3.43
35,1989,4.34
36,1988,5.12
37,1987,5.33
38,1986,10.82
39,1985,8.56
40,1984,9.49
