,higher education institution,Complete University Guide score
0,University of Cambridge,100%
1,University of Oxford,99%
2,University of St Andrews,96%
3,London School of Economics,94%
4,Imperial College London,91%
5,Loughborough University,90%
6,Durham University,90%
7,Lancaster University,89%
8,University of Bath,87%
9,University College London,86%
10,University of Warwick,85%
11,University of Exeter,83%
12,University of Birmingham,81%
13,University of Bristol,81%
14,University of Edinburgh,81%
15,University of Leeds,80%
16,University of Manchester,80%
17,University of Southampton,80%
18,University of Glasgow,79%
19,King's College London,77%
