,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",418.87
1,Professional and business services,200.09
2,Government and government enterprises,151.94
3,Information,143.64
4,"Educational services, health care, and social assistance",141.49
5,Wholesale trade,70.45
6,Retail trade,69.22
7,Manufacturing,65.79
8,"Arts, entertainment, recreation, accommodation, and food services",61.7
9,Construction,39.87
10,Transportation and warehousing,28.29
11,Utilities,20.17
12,"Agriculture, forestry, fishing, and hunting",3.3
13,"Mining, quarrying, and oil and gas extraction",1.2
