,Year,Viewership in millions
0,Super Bowl XLIV (American football) *,121
1,UEFA Champions league final (football),109
2,Bahrain Grand Prix (Formula 1),54
3,100-meter final Eder men (athletics),33
4,Men's final wimbledon (tennis),29
5,Japan-South Korea baseball finals (baseball),27
6,NBA Finals LA Lakers-Orlando Magic (Basketball),26
7,Final day U.S. Masters (Golf),21
8,Sudirman finals South Korea-China (badminton),19
9,Motor GP World Cup (motorcycle racing),19
10,Tour de France 20 Leg (cycling),18
11,Canada-Russia World Cup finals (hockey),17
12,World Cup final France-Croatia (handball),17
13,NASCAR Daytona 500 (Motor Sports),16
14,World Cup Final Pakistan-Sri Lanka (Cricket),13
