,Company Name,Number of employees
0,Securitas AB,300313
1,H & M Hennes & Mauritz AB,123283
2,"Ericsson, Telefon AB LM",97843
3,"Electrolux, AB",54419
4,Assa Abloy AB,48353
5,Essity AB,47222
6,Scania CV AB,45235
7,Scania AB,45235
8,Sandvik AB,42540
9,Skanska AB,38650
10,Atlas Copco AB,35894
11,Nordea Bank AB,31437
12,PostNord AB,29962
13,Loomis AB,24838
14,Telia Company AB,23614
15,Nordstjernan AB,22480
16,ICA Gruppen AB,22272
17,Axel Johnson Holding AB,21525
18,Axel Johnson AB,21506
19,Investor AB,21162
