,Response,Share of respondents
0,Laptop (including Mac laptops),59%
1,Desktop PC / Mac,45%
2,A standard mobile phone without internet,36%
3,PVR box (e.g. Sky+) or Freeview box,35%
4,Games console with internet,30%
5,Android smartphone,25%
6,Games console without internet,20%
7,iPhone,16%
8,"Handheld gaming device e.g. Nintendo DS, PSP/ VITA with internet access",14%
9,"Handheld gaming device e.g. Nintendo DS, PSP/ VITA without internet access",13%
10,iPad,13%
11,Blackberry,12%
12,Other smartphone,8%
13,Other tablet,7%
14,Windows smartphone,3%
15,PDA,2%
16,None of these,5%
