,Year,GDP per capita in U.S. dollars
0,2025*,70766.32
1,2024*,68555.02
2,2023*,66383.76
3,2022*,64217.44
4,2021*,62112.95
5,2020*,58483.96
6,2019,65233.88
7,2018,66185.53
8,2017,60912.73
9,2016,56826.39
10,2015,55645.61
11,2014,57564.8
12,2013,56519.35
13,2012,54891.87
14,2011,53363.94
15,2010,46469.4
16,2009,38577.17
17,2008,39722.15
18,2007,39223.54
19,2006,33579.16
20,2005,29869.9
21,2004,27404.81
22,2003,23573.85
23,2002,22016.98
24,2001,21576.81
25,2000,23793.11
26,1999,21796.25
27,1998,21824.01
28,1997,26386.35
29,1996,26262.26
30,1995,24937.27
31,1994,21577.84
32,1993,18302.53
33,1992,16144.34
34,1991,14504.6
35,1990,12766.06
36,1989,10711.03
37,1988,9316.36
38,1987,7786.65
39,1986,6864.32
40,1985,6781.92
