,Country,Average life expectancy in years at birth
0,Central African Republic,62.13
1,Chad,62.49
2,Nigeria,63.55
3,Cote d'Ivoire,64.44
4,Sierre Leone,64.56
5,South Sudan,64.95
6,Lesotho,65.01
7,Somalia,65.14
8,Guinea-Bissau,66.39
9,Equatorial Guinea,66.57
10,Mali,67.06
11,Cameroon,67.32
12,Democratic Republic of the Congo,67.88
13,Eswatini,68.06
14,Togo,68.18
15,Zimbabwe,68.52
16,Benin,68.68
17,Guinea,69.06
18,Angola,69.08
19,Gambia,69.36
20,Comoros,69.59
21,Papua New Guinea,69.66
22,Mauritania,69.8
23,Congo,69.86
24,South Africa,70.1
