,Quarter,Revenue in billion U.S. dollars
0,Q4 '20,14.71
1,Q3 '20,11.78
2,Q2 '20,18.01
3,Q1 '20,20.86
4,Q4 '19,19.1
5,Q3 '19,20.26
6,Q2 '19,14.92
7,Q1 '19,15.3
8,Q4 '18,14.31
9,Q3 '18,15.23
10,Q2 '18,14.55
11,Q1 '18,15.35
12,Q4 '17,12.78
13,Q3 '17,14.24
14,Q2 '17,13.34
15,Q1 '17,14.78
16,Q4 '16,13.14
17,Q3 '16,14.28
18,Q2 '16,12.97
19,Q1 '16,15.24
20,Q4 '15,13.51
21,Q3 '15,13.1
22,Q2 '15,12.46
23,Q1 '15,13.39
24,Q4 '14,12.39
25,Q3 '14,12.47
26,Q2 '14,11.65
27,Q1 '14,12.31
28,Q4 '13,11.57
29,Q3 '13,11.58
30,Q2 '13,10.55
31,Q1 '13,11.34
32,Q4 '12,10.78
33,Q3 '12,11.09
34,Q2 '12,9.63
35,Q1 '12,10.78
36,Q4 '11,10.43
37,Q3 '11,10.68
38,Q2 '11,9.08
39,Q1 '11,10.72
40,Q4 '10,9.74
41,Q3 '10,10.0
42,Q2 '10,8.58
43,Q1 '10,9.74
