,Year,Number of deaths
0,3/7/20,0
1,3/8/20,0
2,3/9/20,0
3,3/10/20,0
4,3/11/20,1
5,3/12/20,0
6,3/13/20,0
7,3/14/20,2
8,3/15/20,4
9,3/16/20,8
10,3/17/20,8
11,3/18/20,20
12,3/19/20,24
13,3/20/20,47
14,3/21/20,44
15,3/22/20,49
16,3/23/20,82
17,3/24/20,95
18,3/25/20,124
19,3/26/20,186
20,3/27/20,218
21,3/28/20,273
22,3/29/20,291
23,3/30/20,325
24,3/31/20,385
25,4/1/20,447
26,4/2/20,498
27,4/3/20,498
28,4/4/20,511
29,4/5/20,578
30,4/6/20,575
31,4/7/20,599
32,4/8/20,569
33,4/9/20,561
34,4/10/20,539
35,4/11/20,542
36,4/12/20,572
37,4/13/20,570
38,4/14/20,509
39,4/15/20,455
40,4/16/20,412
41,4/17/20,384
42,4/18/20,390
43,4/19/20,399
44,4/20/20,363
45,4/21/20,323
46,4/22/20,311
47,4/23/20,331
48,4/24/20,314
49,4/25/20,264
50,4/26/20,246
51,4/27/20,269
52,4/28/20,229
53,4/29/20,237
54,4/30/20,224
55,5/1/20,210
56,5/2/20,190
57,5/3/20,177
58,5/4/20,158
59,5/5/20,151
60,5/6/20,151
61,5/7/20,142
62,5/8/20,131
63,5/9/20,99
64,5/10/20,103
65,5/11/20,104
66,5/12/20,90
67,5/13/20,83
68,5/14/20,70
69,5/15/20,86
70,5/16/20,83
71,5/17/20,77
72,5/18/20,59
73,5/19/20,55
74,5/20/20,79
75,5/21/20,45
76,5/22/20,65
77,5/23/20,60
78,5/24/20,49
79,5/25/20,47
80,5/26/20,38
81,5/27/20,49
82,5/28/20,38
83,5/29/20,43
84,5/30/20,52
85,5/31/20,39
86,6/1/20,35
87,6/2/20,37
88,6/3/20,43
89,6/4/20,33
90,6/5/20,28
91,6/6/20,34
92,6/7/20,25
93,6/8/20,39
94,6/9/20,31
95,6/10/20,32
96,6/11/20,21
97,6/12/20,23
98,6/13/20,15
99,6/14/20,24
100,6/15/20,20
101,6/16/20,17
102,6/17/20,19
103,6/18/20,17
104,6/19/20,15
105,6/20/20,18
106,6/21/20,24
107,6/22/20,18
108,6/23/20,20
109,6/24/20,19
110,6/25/20,15
111,6/26/20,18
112,6/27/20,14
113,6/28/20,13
114,6/29/20,17
115,6/30/20,17
116,7/1/20,10
117,7/2/20,17
118,7/3/20,13
119,7/4/20,7
120,7/5/20,10
121,7/6/20,12
122,7/7/20,8
123,7/8/20,15
124,7/9/20,7
125,7/10/20,6
126,7/11/20,9
127,7/12/20,6
128,7/13/20,15
129,7/14/20,10
130,7/15/20,12
131,7/16/20,7
132,7/17/20,12
133,7/18/20,9
134,7/19/20,7
135,7/20/20,8
136,7/21/20,7
137,7/22/20,7
138,7/23/20,9
139,7/24/20,6
140,7/25/20,11
141,7/26/20,8
142,7/27/20,4
143,7/28/20,12
144,7/29/20,5
145,7/30/20,4
146,7/31/20,3
147,8/1/20,6
148,8/2/20,2
149,8/3/20,3
150,8/4/20,4
151,8/5/20,7
152,8/6/20,5
153,8/7/20,3
154,8/8/20,4
155,8/9/20,3
156,8/10/20,6
157,8/11/20,4
158,8/12/20,1
159,8/13/20,3
160,8/14/20,3
161,8/15/20,6
162,8/16/20,5
163,8/17/20,5
164,8/18/20,1
165,8/19/20,1
166,8/20/20,7
167,8/21/20,3
168,8/22/20,5
169,8/23/20,3
170,8/24/20,8
171,8/25/20,4
172,8/26/20,6
173,8/27/20,1
174,8/28/20,5
175,8/29/20,2
176,8/30/20,4
177,8/31/20,1
178,9/1/20,3
179,9/2/20,4
180,9/3/20,5
181,9/4/20,5
182,9/5/20,3
183,9/6/20,7
184,9/7/20,1
185,9/8/20,2
186,9/9/20,2
187,9/10/20,4
188,9/11/20,4
189,9/12/20,4
190,9/13/20,3
191,9/14/20,5
192,9/15/20,3
193,9/16/20,6
194,9/17/20,5
195,9/18/20,3
196,9/19/20,5
197,9/20/20,5
198,9/21/20,3
199,9/22/20,3
200,9/23/20,4
201,9/24/20,3
202,9/25/20,4
203,9/26/20,6
204,9/27/20,2
205,9/28/20,3
206,9/29/20,7
207,9/30/20,8
208,10/1/20,5
209,10/2/20,3
210,10/3/20,5
211,10/4/20,7
212,10/5/20,0
213,10/6/20,3
214,10/7/20,4
215,10/8/20,6
216,10/9/20,2
217,10/10/20,4
218,10/11/20,7
219,10/12/20,8
220,10/13/20,4
221,10/14/20,6
222,10/15/20,8
223,10/16/20,6
224,10/17/20,6
225,10/18/20,4
