,Year,GDP per capita in U.S. dollars
0,2024*,3952.1
1,2023*,3664.17
2,2022*,3406.14
3,2021*,3171.51
4,2020*,2954.64
5,2019*,2739.82
6,2018*,2551.12
7,2017*,2353.36
8,2016,2172.01
9,2015,2085.71
10,2014,2047.43
11,2013,1898.9
12,2012,1750.76
13,2011,1532.31
14,2010,1297.23
15,2009,1181.45
16,2008,1154.49
17,2007,920.46
18,2006,796.93
19,2005,699.68
20,2004,603.67
21,2003,489.03
22,2002,440.21
23,2001,413.34
24,2000,401.57
25,1999,374.72
26,1998,360.93
27,1997,361.91
28,1996,337.52
29,1995,288.87
30,1994,230.31
31,1993,189.26
32,1992,144.15
33,1991,113.65
34,1990,98.03
35,1989,97.16
36,1988,365.89
37,1987,674.88
38,1986,556.02
39,1985,251.2
40,1984,822.55
