,Month,Rental cost in GBP per square foot
0,Aug '20,125.0
1,Jul '20,112.5
2,Jun '20,90.0
3,May '20,100.0
4,Apr '20,78.5
5,Mar '20,92.0
6,Feb '20,115.0
7,Jan '20,72.34
8,Dec '19,92.5
9,Nov '19,102.5
10,Oct '19,135.0
11,Sep '19,120.0
12,Aug '19,95.34
13,Jul '19,120.0
14,Jun '19,115.0
15,May '19,102.0
16,Apr '19,250.0
17,Mar '19,130.0
18,Feb '19,118.0
19,Jan '19,85.25
20,Dec '18,105.0
21,Nov '18,100.0
22,Oct '18,100.0
23,Sep '18,92.5
24,Aug '18,150.0
25,Jul '18,120.0
26,Jun '18,104.0
27,May '18,185.0
28,Apr '18,86.0
29,Mar '18,98.62
