,Response,Share of GDP
0,Public administration,24.19%
1,Real estate and rental and leasing,14.95%
2,Construction,13.28%
3,Health care and social assistance,9.55%
4,Retail trade,5.42%
5,Educational services,4.94%
6,Transportation and warehousing,4.21%
7,"Mining, quarrying, and oil and gas extraction",3.74%
8,Accommodation and food services,3.64%
9,"Professional, scientific and technical services",3.2%
10,Finance and insurance,2.79%
11,Information and cultural industries,2.36%
12,Utilities,1.72%
13,Wholesale trade,1.61%
14,Other services (except public administration),1.44%
15,"Administrative and support, waste management and remediation services",1.31%
16,Manufacturing,0.67%
17,"Arts, entertainment and recreation",0.59%
18,Management of companies and enterprises,0.2%
19,"Agriculture, forestry, fishing and hunting",0.19%
