,human,Box office gross in million U.S. dollars
0,Steven Spielberg,4672.2
1,Michael Bay,2326.5
2,Anthony Russo,2264.5
3,Joe Russo,2264.5
4,Peter Jackson,2152.7
5,Ron Howard,2111.6
6,Robert Zemeckis,2104.3
7,Christopher Nolan,2006.7
8,James Cameron,1976.0
9,Clint Eastwood,1956.1
10,Tim Burton,1955.4
11,David Yates,1791.8
12,Chris Columbus,1750.8
13,George Lucas,1743.9
14,J.J. Abrams,1684.2
15,Ridley Scott,1661.1
16,Lee Unkrich,1541.3
17,Gore Verbinski,1529.4
18,Sam Raimi,1526.7
19,Francis Lawrence,1481.5
