,banks,Deal value in billion U.S. dollars
0,Santander/Banco Popular (2017),8.22
1,Deutsche Bank/Deutsche Postbank (2011),7.19
2,CaixaBank/Banca Civica (2012),6.13
3,DZ Bank/WGZ Bank (2016),3.52
4,Bank of Cyprus/Cyprus Popular Bank (2013),3.28
5,BBVA/Catalunya Bank (2015),3.25
6,"Kutxabank/BBK, Kutxa and Vital merger (2012)",3.19
7,Banco Sabadell/Banco Cam (2012),3.18
8,Caixabank/BPI (2017),2.9
9,Alpha Bank/Emporiki Bank (2013),2.84
10,Caixabank/Banco de Valencia (2013),2.7
11,Banco Popular/Banco Pastor (2011),2.62
12,Banco de Sabadell/TSB Banking Group (2015),2.48
13,Caixabank/Barclays Bank Spain (2014),2.0
14,Sberbank/Denizbank (2012),1.93
