,Car Manufacturer,July 2014,January 2017
0,Ford,506,475
1,Vauxhall,271,234
2,Peugeot,187,179
3,Nissan,203,197
4,Volkswagen,233,196
5,Kia,179,187
6,Toyota,182,177
7,Citroen,189,176
8,Fiat,171,157
9,Suzuki,144,163
10,BMW,144,146
11,Mini,142,143
12,Hyundai,149,158
13,Mazda,132,130
14,Renault,151,151
15,Audi,114,124
16,Seat,135,131
17,Land Rover,117,119
18,Mitsubishi,110,106
19,Volvo,106,121
20,Jaguar,89,85
21,Subaru,59,73
22,Skoda,125,79
23,Honda,176,154
24,Jeep*,64,96
25,Alfa Romeo,59,62
26,Lexus,47,47
27,Mercedes,35,38
