,College or university,Average score (25th percentile)
0,Caltech,2160
1,Harvard,2120
2,Princeton,2120
3,Yale,2110
4,Columbia,2100
5,MIT,2090
6,Stanford,2080
7,Vanderbilt,2070
8,Northwestern,2060
9,Dartmouth,2030
10,Tufts,2030
11,UPenn,2030
12,Duke,2020
13,Rice,2020
14,Brown,1990
15,Carnegie Mellon,1970
16,Johns Hopkins,1950
17,Emory,1920
18,USC,1910
19,Boston College,1900
20,NYU,1890
21,Tulane,1890
22,University of Virginia,1890
23,Michigan,1880
24,Berkeley,1870
25,William and Mary,1870
26,Georgia Tech,1860
27,Brandeis,1850
28,GWU,1830
29,University of Miami,1820
30,UNC,1790
31,Boston University,1780
32,UCLA,1760
33,Ohio State,1700
34,Pepperdine,1680
35,UCSD,1660
36,UC Santa Barbara,1640
37,Penn State,1630
38,Rutgers,1620
39,UC Davis,1620
40,U Washington,1600
41,Syracuse,1570
42,UC Irvine,1530
43,Washington U,1420
44,University of Chicago,1400
45,Notre Dame,1340
46,Cornell,1310
47,Georgetown,1290
48,Lehigh,1200
