,Movie,Production costs,Global box office revenue
0,Star Wars Episode IV: A New Hope,11.0,775.4
1,Star Wars Episode V: The Empire Strikes Back,18.0,538.38
2,Star Wars Episode VI: Return of the Jedi,32.5,475.11
3,Star Wars Episode I: The Phantom Menace,115.0,1027.04
4,Star Wars Episode II: Attack of the Clones,115.0,649.4
5,Star Wars Episode III: Revenge of the Sith,113.0,848.75
6,Star Wars: The Force Awakens,245.0,2068.22
7,Rogue One: A Star Wars Story,200.0,1056.06
8,Star Wars: The Last Jedi*,317.0,1332.54
9,Solo: A Star Wars Story*,275.0,392.92
