,Seattle Sounders Players,Payroll in thousand U.S. dollars
0,Nicolas Lodeiro,2502.5
1,Raul Ruidiaz,1800.0
2,Victor Rodriguez,1087.5
3,Kim Kee-Hee,772.0
4,Roman Torres,740.0
5,Jordan Morris,619.6
6,Gustav Svensson,600.0
7,Kelvin Leerdam,600.0
8,Cristian Roldan,596.54
9,Brad Smith,564.37
10,Joevin Jones,528.67
11,Xavier Arreaga,500.85
12,Will Bruin,358.33
13,Stefan Frei,337.5
14,Harry Shipp,235.0
15,Daniel Leyva,89.87
16,Alfonso Ocampo-Chavez,85.75
17,Bryan Meredith,70.88
18,Jordy Delem,70.88
19,Nouhou Tolo,70.73
20,Henry Wingo,70.25
21,Jonathan Campbell,70.25
22,Saad Abdul-Salaam,70.25
23,Trey Muse,65.0
24,Alex Roldan,57.23
25,Handwalla Bwana,57.23
