,Response,Share of TLD attacks
0,"GoDaddy.com, LLC",17%
1,"NameCheap, Inc.",12%
2,"Alibaba Cloud Computing (Beijing) Co., Ltd.",10%
3,PDR Ltd. d/b/a PublicDomainRegistry.com,5%
4,Tucows Domain Inc.,3%
5,Google Inc.,3%
6,"Name.com, Inc.",3%
7,Dynadot LLC,2%
8,Key-Systems LLC,2%
9,"Chengdu West Dimenson Digital Technology Co., Ltd.",2%
10,Unregistrar Corp,2%
11,"Network Solutions, LLC",2%
12,OVH,2%
13,"GMO Internet, Inc. d/b/a Onamae.com",2%
14,Gandi SAS,1%
15,"Registrar of Domain Names REG.RU, LLC",1%
16,1&1 Internet SE,1%
17,1API GmbH,1%
18,"NameSilo, LLC",1%
19,"Regional Network Information Center, JSC dba RU-CENTER",1%
