,Year,Number of residents in thousands
0,2020,329484.12
1,2019,328329.95
2,2018,326838.2
3,2017,325122.13
4,2016,323071.76
5,2015,320738.99
6,2014,318386.33
7,2013,316059.95
8,2012,313877.66
9,2011,311583.48
10,2010,309327.14
11,2009,307007.0
12,2008,304375.0
13,2007,301580.0
14,2006,298593.0
15,2005,295753.0
16,2004,293046.0
17,2003,290326.0
18,2002,287804.0
19,2001,285082.0
20,2000,282172.0
21,1999,279040.0
22,1998,275854.0
23,1997,272647.0
24,1996,269394.0
25,1995,266278.0
26,1994,263126.0
27,1993,259919.0
28,1992,256514.0
29,1991,252981.0
30,1990,249623.0
31,1989,246819.0
32,1988,244499.0
33,1987,242289.0
34,1986,240133.0
35,1985,237924.0
36,1984,235825.0
37,1983,233792.0
38,1982,231664.0
39,1981,229466.0
40,1980,226546.0
41,1979,225055.0
42,1978,222585.0
43,1977,220239.0
44,1976,218035.0
45,1975,215973.0
46,1974,213854.0
47,1973,211909.0
48,1972,209896.0
49,1971,207661.0
50,1970,203302.0
51,1969,202677.0
52,1968,200706.0
53,1967,198712.0
54,1966,196560.0
55,1965,194303.0
56,1964,191889.0
57,1963,189242.0
58,1962,186538.0
59,1961,183691.0
60,1960,179323.0
61,1959,177830.0
62,1958,174882.0
63,1957,171984.0
64,1956,168903.0
65,1955,165931.0
66,1954,163026.0
67,1953,160184.0
68,1952,157553.0
69,1951,154878.0
70,1950,152271.0
