,State,Percentage of single-person households
0,District of Columbia,45.6
1,North Dakota,32.0
2,Rhode Island,31.5
3,Vermont,31.3
4,West Virginia,31.1
5,Ohio,31.1
6,New Mexico,31.1
7,Maine,30.8
8,Louisiana,30.6
9,Montana,30.0
10,New York,29.9
11,Alabama,29.9
12,Pennsylvania,29.9
13,Missouri,29.7
14,Iowa,29.6
15,Illinois,29.6
16,Michigan,29.6
17,Mississippi,29.6
18,Nebraska,29.6
19,Wisconsin,29.5
20,Nevada,29.4
21,South Dakota,29.2
22,Kansas,29.2
23,Wyoming,29.1
24,Connecticut,29.1
25,Massachusetts,29.0
26,Florida,29.0
27,South Carolina,29.0
28,Delaware,28.9
29,Indiana,28.9
30,Minnesota,28.7
31,North Carolina,28.5
32,Arkansas,28.2
33,Kentucky,28.1
34,Colorado,28.1
35,Tennessee,28.0
36,Oklahoma,28.0
37,New Hampshire,27.6
38,Georgia,27.5
39,Virginia,27.5
40,Oregon,27.3
41,Maryland,27.3
42,Arizona,27.0
43,Washington,26.2
44,Alaska,26.0
45,New Jersey,26.0
46,Texas,25.5
47,Idaho,25.4
48,Hawaii,24.5
49,California,24.0
50,Utah,19.4
