,Month,Sales in billion U.S. dollars
0,Jan '12,3.44
1,Febr '12,3.38
2,Mar '12,3.42
3,Apr '12,3.38
4,May '12,3.36
5,Jun '12,3.43
6,Jul '12,3.61
7,Aug '12,3.64
8,Sep '12,3.64
9,Oct' 12,3.53
10,Nov '12,3.41
11,Dec '12,3.19
12,Jan '13,3.0
13,Feb '13,2.85
14,Mar '13,2.8
15,Apr '13,2.72
16,May '13,2.74
17,Jun '13,2.72
18,Jul '13,2.93
19,Aug '13,3.06
20,Sep '13,3.15
21,Oct '13,3.11
22,Nov '13,3.07
23,Dec '13,2.93
24,Jan '14,2.86
25,Feb '14,2.84
26,Mar '14,2.81
27,Apr '14,2.84
28,May '14,2.72
29,Jun '14,2.94
30,Jul '14,2.99
31,Aug '14,3.07
32,Sep '14,3.03
33,Oct '14,3.01
34,Nov '14,2.93
35,Dec '14,2.8
36,Jan '15,2.62
37,Feb '15,2.55
38,Mar '15,2.54
39,Apr '15,2.54
40,May '15,2.54
41,Jun '15,2.57
42,Jul '15,2.63
43,Aug '15,2.67
44,Sep '15,2.69
45,Oct '15,2.7
46,Nov '15,2.68
47,Dec '15,2.57
48,Jan '16,2.48
49,Feb '16,2.47
50,Mar '16,2.59
51,Apr '16,2.6
52,May '16,2.56
53,Jun '16,2.53
54,Jul '16,2.6
55,Aug '16,2.74
56,Sep '16,2.8
57,Oct '16,2.89
58,Nov '16,2.9
59,Dec '16,2.84
60,Jan '17,2.79
61,Feb '17,2.77
62,Mar '17,2.87
63,Apr '17,2.89
64,May '17,2.96
65,Jun '17,2.98
66,Jul '17,3.04
67,Aug '17,3.13
68,Sep '17,3.14
69,Oct '17,3.2
70,Nov '17,3.21
71,Dec '17,3.24
72,Jan '18,3.21
73,Feb '18,3.18
74,Mar '18,3.21
75,Apr '18,3.29
76,May '18,3.35
77,Jun '18,3.39
78,Jul '18,3.39
79,Aug '18,3.41
80,Sep '18,3.4
81,Oct '18,3.41
82,Nov '18,3.39
83,Dec '18,3.32
84,Jan '19,3.16
