,Response,Share of respondents
0,Ticket price is too high,53%
1,Movie genre/themes/titles not as interesting,41%
2,Prefer to watch movies on my own schedule,30%
3,Prefer to spend my money on other recreational activities,29%
4,Can see movies at home (in demand) shortly after they are released in theaters,24%
5,Prefer to spend my money on going out to dinner,19%
6,Don't have same disposable income as I did in previous 12 months,18%
7,Decline in overall theater experience,16%
8,Online pay content/series is just as entertaining,13%
9,"Too many people using phones, tablets or other technology",10%
