,Year,GDP in billion current U.S. dollars
0,2019,21429.0
1,2018,20580.2
2,2017,19519.4
3,2016,18715.0
4,2015,18224.8
5,2014,17527.3
6,2013,16784.9
7,2012,16197.0
8,2011,15542.6
9,2010,14992.1
10,2009,14448.9
11,2008,14712.8
12,2007,14451.9
13,2006,13814.6
14,2005,13036.6
15,2004,12213.7
16,2003,11458.2
17,2002,10936.4
18,2001,10581.8
19,2000,10252.3
20,1999,9630.7
21,1998,9062.8
22,1997,8577.6
23,1996,8073.1
24,1995,7639.7
25,1994,7287.2
26,1993,6858.6
27,1992,6520.3
28,1991,6158.1
29,1990,5963.1
