,State,Annual cost in thousand U.S. dollars
0,District of Columbia,24.08
1,Massachusetts,20.88
2,California,16.45
3,Minnesota,16.12
4,New Jersey,15.6
5,Colorado,15.6
6,Connecticut,15.6
7,Maryland,15.4
8,New York,15.03
9,Washington,14.84
10,Virginia,14.56
11,Maine,14.25
12,Hawaii,14.1
13,Illinois,13.76
14,Oregon,13.52
15,New Hampshire,13.04
16,Kansas,12.58
17,Wisconsin,12.55
18,Vermont,12.51
19,Indiana,12.39
20,Nebraska,12.27
21,Alaska,11.83
22,Pennsylvania,11.56
23,Delaware,11.37
24,Nevada,11.11
25,Rhode Island,10.96
26,Arizona,10.82
27,Iowa,10.74
28,Michigan,10.29
29,Ohio,10.01
30,Utah,10
31,Missouri,9.88
32,Texas,9.86
33,Florida,9.31
34,North Carolina,9.25
35,North Dakota,9.18
36,New Mexico,9.14
37,South Carolina,9.1
38,Wyoming,9.1
39,Tennessee,9.02
40,Oklahoma,8.94
41,Georgia,8.73
42,Idaho,8.64
43,Louisiana,8.58
44,West Virginia,8.03
45,Kentucky,7.44
46,Alabama,7.28
47,Arkansas,6.44
48,Mississippi,5.76
49,South Dakota *,-
50,Montana *,-
