,State,Percentage of binge drinkers
0,District of Columbia,25.9%
1,North Dakota,23.3%
2,Wisconsin,22.7%
3,Iowa,21.1%
4,Nebraska,20.6%
5,Illinois,20.3%
6,Minnesota,20%
7,Alaska,19.6%
8,Montana,19.5%
9,Hawaii,19.5%
10,Colorado,18.9%
11,Ohio,18.9%
12,Missouri,18.8%
13,Massachusetts,18.8%
14,New Hampshire,18.7%
15,Pennsylvania,18.2%
16,Louisiana,18.1%
17,Rhode Island,18.1%
18,Michigan,18.1%
19,Wyoming,18%
20,Maine,17.9%
21,Nevada,17.9%
22,Texas,17.8%
23,California,17.6%
24,New York,17.5%
25,South Dakota,17.4%
26,United States,17.4%
27,Vermont,17.4%
28,Kansas,17.2%
29,New Jersey,16.7%
30,Indiana,16.6%
31,Oregon,16.1%
32,Virginia,16%
33,Kentucky,15.8%
34,Washington,15.6%
35,South Carolina,15.5%
36,North Carolina,15.4%
37,Connecticut,15.4%
38,Maryland,15.3%
39,Arizona,15.2%
40,Florida,15.1%
41,Idaho,15.1%
42,Arkansas,15.1%
43,Delaware,14.8%
44,New Mexico,14.7%
45,Oklahoma,13.4%
46,Tennessee,13.1%
47,Georgia,12.9%
48,Mississippi,12.6%
49,Alabama,12.4%
50,Utah,11.5%
51,West Virginia,11.5%
