,Year,Percentage change q-o-q
0,2020 Q3,97%
1,2020 Q2,114.7%
2,2020 Q1,8.2%
3,2019 Q4,-2.6%
4,2019 Q3,5.2%
5,2019 Q2,-3.7%
6,2019 Q1,0.6%
7,2018 Q4,3.6%
8,2018 Q3,6.4%
9,2018 Q2,14.4%
10,2018 Q1,11.4%
11,2017 Q4,10.5%
12,2017 Q3,13.7%
13,2017 Q2,12.4%
14,2017 Q1,17.4%
15,2016 Q4,26.4%
16,2016 Q3,13%
17,2016 Q2,14.1%
18,2016 Q1,8.3%
19,2015 Q4,10.2%
20,2015 Q3,14.4%
21,2015 Q2,11.3%
22,2015 Q1,13.4%
23,2014 Q4,9.5%
24,2014 Q3,13.1%
25,2014 Q2,14.2%
26,2014 Q1,10.2%
27,2013 Q4,12.8%
28,2013 Q3,12.2%
29,2013 Q2,10.2%
30,2013 Q1,15.3%
31,2012 Q4,16.8%
32,2012 Q3,18.5%
33,2012 Q2,17.1%
34,2012 Q1,14.3%
35,2011 Q4,11.6%
36,2011 Q3,4.4%
37,2011 Q2,1%
38,2011 Q1,3.5%
39,2010 Q4,19.1%
40,2010 Q3,19.3%
41,2010 Q2,31.6%
42,2010 Q1,33.9%
