,Year,GNI per capita in current U.S. dollars
0,2018,30600
1,2017,28380
2,2016,27690
3,2015,27250
4,2014,26800
5,2013,25760
6,2012,24550
7,2011,22540
8,2010,21260
9,2009,21040
10,2008,22800
11,2007,22420
12,2006,19950
13,2005,17790
14,2004,15630
15,2003,13350
16,2002,12460
17,2001,11620
18,1998,10070
19,1997,13230
20,1996,13040
21,1995,11600
22,1994,9910
23,1993,8860
24,1992,8170
25,1991,7440
26,1990,6360
27,1989,5310
28,1988,4460
29,1987,3480
30,1986,2820
31,1985,2450
32,1984,2320
33,1983,2150
34,1982,2040
35,1981,2020
36,1980,1860
