,climate change mitigation,CO2 capture capacity in million metric tons per year
0,Century Plant(United States),8.4
1,Shute Creek Gas Processing Plant(United States),7.0
2,Gorgon Carbon Dioxide Injection(Australia)*,3.4
3,Great Plains Synfuels Plant and Weyburn-Midale (United States),3.0
4,Petrobras Santos Basin Pre-Salt Oil Field CCS (Brazil),3.0
5,Petra Nova Carbon Capture(United States),1.4
6,Quest(Canada),1.0
7,Boundary Dam CCS(Canada),1.0
8,Illinois Industrial Carbon Capture and Storage (United States),1.0
9,Sleipner CO2 Storage(Norway),1.0
10,Air Products Steam Methane Reformer(United States),1.0
11,Coffeyville Gasification Plant(United States),1.0
12,Lost Cabin Gas Plant(United States),0.9
13,Uthmaniyah CO2-EOR Demonstration(Saudi Arabia),0.8
14,Abu Dhabi CCS (Phase 1 Emirates Steel Industries) (United Arab Emirates),0.8
15,Enid Fertiliser(United States),0.7
16,Snøhvit CO2 Storage(Norway),0.7
17,Jilin Oil Field CO2-EOR(China),0.6
18,Terrell Natural Gas Processing Plant(United States)**,0.4
