,State,Population in thousands
0,California,15540
1,Texas,11369
2,Florida,5562
3,New York,3753
4,Arizona,2266
5,Illinois,2209
6,New Jersey,1839
7,Colorado,1235
8,New Mexico,1029
9,Georgia,1022
10,North Carolina,996
11,Pennsylvania,975
12,Washington,970
13,Nevada,881
14,Massachusetts,847
15,Virginia,813
16,Maryland,628
17,Connecticut,590
18,Oregon,556
19,Michigan,517
20,Indiana,472
21,Ohio,456
22,Utah,450
23,Oklahoma,429
24,Wisconsin,404
25,Tennessee,373
26,Kansas,348
27,Minnesota,308
28,South Carolina,295
29,Missouri,253
30,Louisiana,240
31,Arkansas,230
32,Idaho,222
33,Nebraska,214
34,Alabama,211
35,Iowa,191
36,Rhode Island,168
37,Kentucky,162
38,Hawaii,151
39,Delaware,92
40,Mississippi,87
41,District of Columbia,79
42,Wyoming,58
43,New Hampshire,53
44,Alaska,53
45,Montana,42
46,South Dakota,34
47,North Dakota,27
48,West Virginia,26
49,Maine,22
50,Vermont,12
