,Year,GDP per capita in U.S. dollars
0,2025*,6043.32
1,2024*,5916.57
2,2023*,5806.7
3,2022*,5709.29
4,2021*,5589.24
5,2020*,5315.52
6,2019*,6221.67
7,2018,6318.48
8,2017,3216.61
9,2016,6046.3
10,2015,6099.35
11,2014,6347.0
12,2013,6030.5
13,2012,5664.89
14,2011,5192.88
15,2010,4633.25
16,2009,4241.94
17,2008,4267.47
18,2007,3588.31
19,2006,3351.48
20,2005,3025.01
21,2004,2700.12
22,2003,2434.98
23,2002,2180.39
24,2001,1909.42
25,2000,1461.84
26,1999,1598.77
27,1998,2257.86
28,1997,2253.23
29,1996,2037.13
30,1995,1980.37
31,1994,1858.32
32,1993,1572.84
33,1992,1375.71
34,1991,1286.62
35,1990,1173.13
36,1989,1182.53
37,1988,1234.67
38,1987,1332.15
39,1986,1461.92
40,1985,2044.31
