,Month,Percentage change in sales value
0,Aug 20,8.1%
1,Jul 20,9.5%
2,Jun 20,10.2%
3,May 20,11%
4,Apr 20,8.9%
5,Mar 20,7.4%
6,Feb 20,2.8%
7,Jan 20,2.4%
8,Dec 19,2.9%
9,Nov 19,3.9%
10,Oct 19,4.1%
11,Sep 19,3.8%
12,Aug 19,3.9%
13,Jul 19,4%
14,Jun 19,6.3%
15,May 19,5.9%
16,Apr 19,6.5%
17,Mar 19,5.1%
18,Feb 19,5.4%
19,Jan 19,5.3%
20,Dec 18,4.9%
21,Nov 18,5.4%
22,Oct 18,5.8%
23,Sep 18,6.8%
24,Aug 18,6.6%
25,Jul 18,6.1%
26,Jun 18,3.1%
27,May 18,3.4%
28,Apr 18,2.8%
29,Mar 18,4.4%
30,Feb 18,3.8%
31,Jan 18,3.8%
32,Dec 17,3.7%
33,Nov 17,2.5%
34,Oct 17,2.1%
35,Sep 17,2.1%
36,Aug 17,2.3%
37,Jul 17,2.8%
38,Jun 17,4.1%
39,May 17,3.8%
40,Apr 17,3.5%
41,Mar 17,1.4%
42,Feb 17,2.6%
43,Jan 17,2.8%
44,Dec 16,3.9%
45,Nov 16,3%
46,Oct 16,3.6%
47,Sep 16,3.1%
48,Aug 16,2.7%
49,Jul 16,1.5%
50,Jun 16,1.4%
51,May 16,1.1%
52,Apr 16,1%
53,Mar 16,0.4%
54,Feb 16,0.8%
55,Jan 16,0.6%
56,Dec 15,0.2%
57,Nov 15,0.4%
58,Oct 15,0.1%
59,Sep 15,0.1%
60,Aug 15,-0.4%
61,Jul 15,0.3%
62,Jun 15,-1.1%
63,May 15,0.1%
64,Apr 15,-1.1%
65,Mar 15,0%
66,Feb 15,-2.7%
67,Jan 15,-2.5%
