,Football player,Payroll in thousand U.S. dollars
0,Mauro  Manotas,1245.05
1,"Aljaz ""Kiki""  Struna",1210.0
2,Christian  Ramirez,666.25
3,Alberth  Elis,650.34
4,Romell  Quioto,556.5
5,Tomas  Martinez,517.93
6,Darwin  Ceren,349.38
7,Adam  Lundkvist,303.75
8,Jose  Bizama,292.43
9,Juan  Cabezas,292.01
10,DaMarcus  Beasley,275.0
11,AJ  DeLaGarza,253.75
12,Ronaldo  Pena,250.0
13,Matias Gabriel  Vera,231.25
14,Oscar Boniek  Garcia,183.0
15,Joe  Willis,172.83
16,Alejandro  Fuenmayor,172.51
17,Tyler  Deric,167.5
18,Thomas  McNamara,165.0
19,Marlon  Hairston,155.0
20,Memo  Rodriguez,82.75
21,Niko  Hansen,79.16
22,Erik  McCue,76.25
23,Kevin  Garcia,72.36
24,Eric  Bird,70.88
25,Maynor  Figueroa,70.25
26,Michael  Salazar,70.25
27,Michael  Nelson,57.23
28,Sam  Junqua,56.25
