,Year,Registered cases
0,2019,325786
1,2018,339021
2,2017,353384
3,2016,378448
4,2015,391401
5,2014,365373
6,2013,356152
7,2012,361759
8,2011,385463
9,2010,387662
10,2009,394033
11,2008,395722
12,2007,408377
13,2006,437896
14,2005,461293
15,2004,509417
16,2003,534340
17,2002,559033
18,2001,549314
19,2000,562835
20,1999,596436
21,1998,655211
22,1997,677542
23,1996,656339
24,1995,614312
25,1994,585671
26,1993,670965
27,1992,529756
28,1991,468507
29,1990,458391
30,1989,375803
31,1988,353972
32,1987,351860
