,Region,Minimum level,Maximum level
0,Beijing,24.0,24.0
1,Shanghai,21.0,21.0
2,Tianjin,20.8,20.8
3,Guangdong,14.0,20.3
4,Shandong,15.5,19.1
5,Henan,15.0,19.0
6,Sichuan,16.3,18.7
7,Inner Mongolia,15.5,18.6
8,Jiangsu,14.5,18.5
9,Shanxi,15.2,18.5
10,Zhejiang,13.6,18.4
11,Xinjiang,14.6,18.2
12,Fujian,13.6,18.0
13,Guizhou,16.0,18.0
14,Anhui,14.0,18.0
15,Hubei,13.0,18.0
16,Jilin,14.0,17.0
17,Hebei,14.0,17.0
18,Gansu,15.4,17.0
19,Shaanxi,13.8,16.8
20,Jiangxi,14.7,16.8
21,Heilongjiang,12.0,16.0
22,Tibet,16.0,16.0
23,Guangxi,12.5,16.0
24,Liaoning,10.6,16.0
25,Ningxia,13.5,15.5
26,Hainan,14.0,15.3
27,Qinghai,15.2,15.2
28,Chongqing,14.0,15.0
29,Yunnan,13.0,15.0
30,Hunan,11.6,15.0
