,Quarter,Revenue in million U.S. dollars
0,Q2 '15*,4379
1,Q1 '15,4448
2,Q4 '14,4921
3,Q3 '14,4353
4,Q2 '14,4366
5,Q1 '14,4262
6,Q4 '13,4530
7,Q3 '13,3892
8,Q2 '13,3877
9,Q1 '13,3748
10,Q4 '12,3992
11,Q3 '12,3404
12,Q2 '12,3398
13,Q1 '12,3277
14,Q4 '11,3380
15,Q3 '11,2966
16,Q2 '11,2760
17,Q1 '11,2546
18,Q4 '10,2495
19,Q3 '10,2249
20,Q2 '10,2215
21,Q1 '10,2196
22,Q4 '09,2371
23,Q3 '09,2238
24,Q2 '09,2098
25,Q1 '09,2021
26,Q4 '08,2036
27,Q3 '08,2118
28,Q2 '08,2196
29,Q1 '08,2192
30,Q4 '07,2181
31,Q3 '07,1889
