,baseball team,Franchise value in million U.S. dollars
0,New York Yankees,5000
1,Los Angeles Dodgers,3400
2,Boston Red Sox,3300
3,Chicago Cubs,3200
4,San Francisco Giants,3100
5,New York Mets,2400
6,St. Louis Cardinals,2200
7,Philadelphia Phillies,2000
8,Los Angeles Angels,1975
9,Washington Nationals,1900
10,Houston Astros,1850
11,Atlanta Braves,1800
12,Texas Rangers,1750
13,Chicago White Sox,1650
14,Toronto Blue Jays,1625
15,Seattle Mariners,1600
16,San Diego Padres,1450
17,Baltimore Orioles,1400
18,Minnesota Twins,1300
19,Arizona Diamondbacks,1290
20,Colorado Rockies,1275
21,Pittsburgh Pirates,1260
22,Detroit Tigers,1250
23,Milwaukee Brewers,1200
24,Cleveland Indians,1150
25,Oakland Athletics,1100
26,Cincinnati Reds,1075
27,Tampa Bay Rays,1050
28,Kansas City Royals,1025
29,Miami Marlins,980
