,Year,Temperature anomaly in degrees celsius
0,2019,2.02
1,2018,2.12
2,2017,1.74
3,2016,1.87
4,2015,1.89
5,2014,2.22
6,2013,1.42
7,2012,1.39
8,2011,1.57
9,2010,1.08
10,2009,1.5
11,2008,1.57
12,2007,1.66
13,2006,1.58
14,2005,1.19
15,2004,1.32
16,2003,1.48
17,2002,1.54
18,2001,1.3
19,2000,1.54
20,1999,1.45
21,1998,1.1
22,1997,1.06
23,1996,0.53
24,1995,0.96
25,1994,1.29
26,1993,0.52
27,1992,0.8
28,1991,0.75
29,1990,1.4
30,1989,1.31
31,1988,0.75
32,1987,0.27
33,1986,0.41
34,1985,0.07
35,1984,0.59
36,1983,0.7
37,1982,0.65
38,1981,0.39
39,1980,0.11
40,1979,0.31
41,1978,0.13
42,1977,0.47
43,1976,0.16
44,1975,0.77
45,1974,0.76
46,1973,0.36
47,1972,0.46
48,1971,0.41
49,1970,0.36
50,1969,0.11
51,1968,0.33
52,1967,0.48
53,1966,0.6
54,1965,0.07
55,1964,0.48
56,1963,0.22
57,1962,0.41
58,1961,1.11
59,1960,0.91
60,1959,0.85
61,1958,0.61
62,1957,0.77
63,1956,-0.22
64,1955,0.57
65,1954,0.4
66,1953,0.8
67,1952,0.57
68,1951,0.65
69,1950,0.83
70,1949,0.86
71,1948,0.74
72,1947,0.79
73,1946,0.78
74,1945,0.8
75,1944,0.6
76,1943,0.9
77,1942,-0.04
78,1941,-0.12
79,1940,-0.12
80,1939,0.77
81,1938,0.97
82,1937,1.07
83,1936,0.77
84,1935,0.67
85,1934,1.17
86,1933,0.23
87,1932,0.53
88,1931,0.19
89,1930,1.0
90,1929,0.12
91,1928,0.5
92,1927,0.52
93,1926,0.65
94,1925,0.4
95,1924,0.35
96,1923,0.34
97,1922,0.12
98,1921,0.57
99,1920,0.61
100,1919,-0.12
101,1918,0.37
102,1917,-0.23
103,1916,0.51
104,1915,-0.08
105,1914,0.39
106,1913,0.47
107,1912,0.03
108,1911,0.49
109,1910,0.43
110,1909,-0.02
111,1908,0.11
112,1907,-0.15
113,1906,0.3
114,1905,0.14
115,1904,0.16
116,1903,0.26
117,1902,-0.26
118,1901,0.36
119,1900,0.29
120,1899,0.33
121,1898,0.47
122,1897,0.36
123,1896,0.14
124,1895,0.07
125,1894,0.35
126,1893,-0.03
127,1892,-0.16
128,1891,0.0
129,1890,0.12
130,1889,0.01
131,1888,-0.63
132,1887,-0.16
133,1886,-0.02
134,1885,-0.14
135,1884,0.26
136,1883,0.15
137,1882,0.42
138,1881,-0.36
139,1880,0.2
140,1879,-0.4
141,1878,0.45
142,1877,-0.05
143,1876,0.06
144,1875,-0.4
145,1874,0.14
146,1873,0.47
147,1872,0.83
148,1871,-0.57
149,1870,-0.23
150,1869,0.27
151,1868,0.74
152,1867,-0.21
153,1866,0.42
154,1865,0.19
155,1864,-0.58
156,1863,0.94
157,1862,0.1
158,1861,0.27
159,1860,-0.36
160,1859,0.63
161,1858,-0.04
162,1857,0.37
163,1856,-0.15
164,1855,-0.71
165,1854,0.12
166,1853,-0.17
167,1852,0.46
168,1851,0.14
169,1850,-0.22
