,Response,Share of responding businesses
0,Attracting customers,80%
1,Increasing revenue,48%
2,Maintaining profitability,35%
3,Developing new products/innovation,33%
4,Uncertainty over economic conditions,28%
5,Tax laws and rules,28%
6,Securing financing for expansion,23%
7,"Other government regulations (e.g., compliance, technical regulation, patents, reporting)",21%
8,Finding/working with suppliers,21%
9,Securing financing for business as usual,20%
10,Retaining/recruiting skilled employees,18%
11,Selling to foreign markets,12%
