,US University,Tuition and fees in thousand U.S. dollars
0,"Hofstra (Zarb) - Hempstead, NY",45
1,"Brigham Young (Marriott) - Provo, UT",47
2,"Buffalo - Buffalo, NY",51
3,"Texas A&M (Mays) - College Station, TX",53
4,"Alabama (Manderson) - Tuscaloosa, AL",54
5,"Wisconsin-Madison - Madison, WI",59
6,"Missouri (Trulaske) - Columbia, MO",60
7,"Florida (Hough) - Gainesville, FL",61
8,"CUNY Baruch (Zicklin) - New York, NY",64
9,"Pittsburgh (Katz) - Pittsburgh, PA",64
10,"Colorado (Leeds) - Boulder, CO",66
11,"Georgia (Terry) - Athens, GA",67
12,"LSU (Ourso) - Baton Rouge, LA",68
13,"Rollins (Crummer) - Winter Park, FL",69
14,"Illinois-Urbana-Champaign - Champaign, IL",73
15,"Willamette (Atkinson) - Salem, OR",74
16,"Iowa (Tippie) - Iowa City, IA",75
17,"Temple (Fox) - Philadelphia, PA",77
18,"Penn State (Smeal) - University Park, PA",77
19,"American (Kogod) - Washington, DC",80
