,Year,Import volume in billion U.S. dollars
0,2019,1.93
1,2018,13.17
2,2017,12.34
3,2016,10.89
4,2015,15.56
5,2014,30.22
6,2013,32.0
7,2012,38.72
8,2011,43.26
9,2010,32.71
10,2009,28.06
11,2008,51.42
12,2007,39.91
13,2006,37.13
14,2005,33.98
15,2004,24.92
16,2003,17.14
17,2002,15.09
18,2001,15.25
19,2000,18.62
20,1999,11.33
21,1998,9.18
22,1997,13.48
23,1996,13.17
24,1995,9.76
25,1994,8.37
26,1993,8.14
27,1992,8.18
28,1991,8.18
29,1990,9.48
30,1989,6.77
31,1988,5.16
32,1987,5.58
33,1986,5.1
34,1985,6.54
