,Year,GDP in billion U.S. dollars
0,2024*,482.17
1,2023*,461.44
2,2022*,442.87
3,2021*,426.8
4,2020*,414.02
5,2019*,405.77
6,2018*,414.18
7,2017,377.7
8,2016,357.05
9,2015,358.14
10,2014,403.14
11,2013,390.11
12,2012,374.59
13,2011,350.67
14,2010,289.79
15,2009,253.55
16,2008,315.48
17,2007,257.92
18,2006,222.12
19,2005,180.62
20,2004,147.82
21,2003,124.35
22,2002,109.82
23,2001,103.31
24,2000,103.89
25,1999,82.87
26,1998,73.39
27,1997,76.17
28,1996,70.99
29,1995,63.64
30,1994,57.45
31,1993,53.44
32,1992,52.21
33,1991,49.82
34,1990,49.09
35,1989,38.09
36,1988,33.0
37,1987,32.47
38,1986,29.57
39,1985,37.31
40,1984,38.01
