,Month,Daily change in percentage of quarantined persons
0,Nov 20,-59%
1,Nov 19,4.4%
2,Nov 17,-1.8%
3,Nov 16,3.3%
4,Nov 13,6.4%
5,Nov 12,-6.2%
6,Nov 11,5.8%
7,Nov 9,-7.6%
8,Nov 6,0.6%
9,Nov 5,5.5%
10,Nov 4,-3.2%
11,Nov 3,-3.2%
12,Oct 30,1.5%
13,Oct 29,2%
14,Oct 27,-0.9%
15,Oct 23,5.4%
16,Oct 22,12.9%
17,Oct 21,15.8%
18,Oct 20,-5%
19,Oct 16,5.3%
20,Oct 15,18.7%
21,Oct 14,17.4%
22,Oct 13,-15.1%
23,Oct 12,8.3%
24,Oct 9,10.1%
25,Oct 8,17.4%
26,Oct 7,-8.6%
27,Oct 6,3.3%
28,Oct 5,11%
29,Oct 2,3.8%
30,Oct 1,3.1%
31,Sep 30,-3.4%
32,Sep 29,-1.13%
33,Sep 28,-2.39%
34,Sep 27,-2.78%
35,Sep 26,4.68%
36,Sep 25,9.43%
37,Sep 24,9.84%
38,Sep 23,-1.55%
39,Sep 22,-0.93%
40,Sep 21,-1.13%
41,Sep 20,-0.55%
42,Sep 19,6.58%
43,Sep 18,7.84%
44,Sep 17,9.71%
45,Sep 16,-1.02%
46,Sep 15,3.46%
47,Sep 14,0.26%
48,Sep 13,1.78%
49,Sep 11,4.5%
50,Sep 10,5.1%
51,Sep 9,4%
52,Sep 8,5.2%
53,Sep 7,1.4%
54,Sep 4,-26.2%
55,Sep 2,-0.2%
56,Sep 1,0.6%
57,Aug 31,-5.1%
58,Aug 28,-0.1%
59,Aug 27,2%
60,Aug 26,-0.3%
61,Aug 25,1.8%
62,Aug 24,-9.3%
63,Aug 14,-0.3%
64,Aug 13,1.6%
65,Aug 12,1.4%
66,Aug 11,1.2%
67,Aug 10,4%
68,Aug 5,1.3%
69,Aug 4,2.5%
70,Aug 3,-1.9%
71,Jul 31,-0.4%
72,Jul 30,2.2%
73,Jul 29,0.6%
74,Jul 28,2.3%
75,Jul 27,-0.5%
76,Jul 24,1.3%
77,Jul 23,1.8%
78,Jul 22,0.2%
79,Jul 21,1.1%
80,Jul 20,-0.1%
81,Jul 17,-4.9%
82,Jul 16,3.2%
83,Jul 15,1.1%
84,Jul 14,1.3%
85,Jul 13,-0.6%
86,Jul 12,-0.9%
87,Jul 11,0.2%
88,Jul 10,0.9%
89,Jul 9,1.9%
90,Jul 8,-1.1%
91,Jul 7,1.9%
92,Jul 6,-0.1%
93,Jul 5,-0.9%
94,Jul 4,-0.3%
95,Jul 3,1.5%
96,Jul 2,0.6%
97,Jul 1,-0.6%
98,Jun 30,0.1%
99,Jun 29,-2.5%
100,Jun 28,-4.1%
101,Jun 27,-2.4%
102,Jun 26,-1%
103,Jun 25,-0.6%
104,Jun 24,-1%
105,Jun 23,0.1%
106,Jun 22,-0.8%
107,Jun 21,-2.3%
108,Jun 20,-0.4%
109,Jun 19,3.7%
110,Jun 18,-2.6%
111,Jun 17,0.6%
112,Jun 16,1.2%
113,Jun 15,1.5%
114,Jun 14,0.5%
115,Jun 13,3.4%
116,Jun 12,1.7%
117,Jun 11,2.4%
118,Jun 10,1.3%
119,Jun 9,2.4%
120,Jun 8,0.2%
121,Jun 7,1.1%
122,Jun 6,0.7%
123,Jun 5,2.4%
124,Jun 4,0.8%
125,Jun 3,0.3%
126,Jun 2,1.4%
127,Jun 1,-1.8%
128,May 31,-1.7%
129,May 30,0.2%
130,May 29,0.2%
131,May 28,1%
132,May 27,0.2%
133,May 26,0.8%
134,May 25,-1.3%
135,May 24,-1.6%
136,May 23,3.7%
137,May 22,0.4%
138,May 21,0.7%
139,May 20,0.4%
140,May 19,-5.3%
141,May 18,-4.3%
142,May 17,-6.5%
143,May 16,-4.9%
144,May 15,-1.7%
145,May 14,0.7%
146,May 13,-0.2%
147,May 12,-0.8%
148,May 11,-3.8%
149,May 10,-2.1%
150,May 9,-1%
151,May 8,0.1%
152,May 7,2.5%
153,May 6,0.6%
154,May 5,4.2%
155,May 4,0.1%
156,May 3,1%
157,May 2,3.4%
158,May 1,4.8%
159,Apr 30,2.8%
160,Apr 29,3.9%
161,Apr 28,4.8%
162,Apr 27,-1%
163,Apr 26,-8.4%
164,Apr 25,-11.1%
165,Apr 24,-5.1%
166,Apr 23,5.2%
167,Apr 22,-7.2%
168,Apr 21,-5%
169,Apr 20,-10.6%
170,Apr 19,5%
171,Apr 18,-14.2%
172,Apr 17,-3%
173,Apr 16,-2.5%
174,Apr 15,0.7%
175,Apr 14,-4.4%
176,Apr 13,-7%
177,Apr 12,-2.4%
178,Apr 11,5.2%
179,Apr 10,3.8%
180,Apr 09,-0.3%
181,Apr 08,3.6%
182,Apr 07,3.4%
183,Apr 06,8.6%
184,Apr 05,-17.9%
185,Apr 04,-8.2%
186,Apr 03,-4.4%
187,Apr 02,6.5%
188,Mar 31,3%
189,Mar 24,10.8%
190,Mar 23,16.9%
191,Mar 22,0.05%
192,Mar 21,18.02%
193,Mar 20,42.3%
194,Mar 19,34.2%
195,Mar 18,52.5%
196,Mar 17,273.2%
197,Mar 16,33.4%
198,Mar 15,70.7%
199,Mar 14,40.1%
200,Mar 13,15.2%
201,Mar 12,129.3%
202,Mar 11,13.1%
203,Mar 10,4%
204,Mar 09,8.8%
205,Mar 08,-39.8%
206,Mar 07,19.2%
207,Mar 06,165.1%
208,Mar 05,40.4%
209,Mar 04,0%
