,Year,Number of memberships
0,1965,6813
1,1966,7979
2,1967,8350
3,1968,9241
4,1969,11299
5,1970,13721
6,1971,14898
7,1972,17041
8,1973,19332
9,1974,22150
10,1975,23204
11,1976,25310
12,1977,25342
13,1978,27510
14,1979,30579
15,1980,24900
16,1981,27834
17,1982,29590
18,1983,32177
19,1984,32950
20,1985,34861
21,1986,34210
22,1987,34500
23,1988,32960
24,1989,34422
25,1990,36434
26,1991,43475
27,1992,45626
28,1993,50722
29,1994,50505
30,1995,52364
31,1996,48920
32,1997,48412
33,1998*,46712
34,1999**,46682
35,2000,41692
36,2001,41272
37,2002,39960
38,2003,38340
39,2004,37153
40,2005,37185
41,2006,35422
42,2007,34857
43,2008,34325
44,2009,32790
45,2010,32229
46,2011,30909
47,2012,29632
48,2013,28728
49,2014,28375
50,2015,27803
51,2016,27346
52,2017,26774
53,2018,26717
