,State,Number of prisoners
0,Texas,158429
1,California,122687
2,Florida,96009
3,Georgia,54816
4,Ohio,50338
5,Pennsylvania,45702
6,New York,43500
7,Arizona,42441
8,Illinois,38259
9,Michigan,38053
10,Virginia,36091
11,North Carolina,34079
12,Louisiana,31609
13,Alabama,28304
14,Indiana,27180
15,Tennessee,26349
16,Missouri,26044
17,Oklahoma,25679
18,Wisconsin,23956
19,Kentucky,23082
20,Colorado,19785
21,Mississippi,19417
22,Washington,19261
23,New Jersey,18613
24,South Carolina,18608
25,Maryland,18595
26,Arkansas,17759
27,Oregon,14961
28,Nevada,12840
29,Connecticut*,12823
30,Kansas,10177
31,Minnesota,9982
32,Idaho,9437
33,Iowa,9282
34,Massachusetts,8205
35,West Virginia,6800
36,New Mexico,6723
37,Utah,6665
38,Delaware*,5692
39,Nebraska,5682
40,Hawaii*,5279
41,Montana,4723
42,Alaska*,4475
43,South Dakota,3801
44,Rhode Island*,2740
45,New Hampshire,2691
46,Wyoming,2479
47,Maine,2185
48,North Dakota,1794
49,Vermont*,1608
