,Month,Inflation rate
0,Jul '20,1.1%
1,Jun '20,3%
2,May '20,2.8%
3,Apr '20,3.4%
4,Mar '20,3.6%
5,Feb '20,4%
6,Jan '20,4.3%
7,Dec '19,3.5%
8,Nov '19,4.1%
9,Oct '19,3.6%
10,Sep '19,3.7%
11,Aug '19,5.1%
12,Jul '19,4.6%
13,Jun '19,3.2%
14,May '19,2.9%
15,Apr '19,2.2%
16,Mar '19,1.8%
17,Feb '19,0.8%
18,Jan '19,-0.3%
19,Dec '18,-0.6%
20,Nov '18,-0.1%
21,Oct '18,0.2%
22,Sep '18,1%
23,Aug '18,0.4%
24,Jul '18,1.4%
25,Jun '18,2.1%
26,May '18,2.6%
27,Apr '18,2.7%
28,Mar '18,2.3%
29,Feb '18,1.9%
30,Jan '18,3.4%
31,Dec '17,3.8%
32,Nov '17,4.8%
33,Oct '17,5.6%
34,Sep '17,4.7%
35,Aug '17,3.6%
36,Jul '17,2.9%
37,Jun '17,2.6%
38,May '17,2%
39,Apr '17,2%
40,Mar '17,2.9%
41,Feb '17,4.4%
42,Jan '17,3.6%
43,Dec '16,3.7%
44,Nov '16,1%
45,Oct '16,0.4%
46,Sep '16,1.2%
47,Aug '16,1.7%
48,Jul '16,1.3%
49,Jun '16,1.3%
50,May '16,1%
51,Apr '16,1.6%
52,Mar '16,1.5%
53,Feb '16,0.5%
54,Jan '16,-0.03%
55,Dec '15,-0.8%
56,Nov '15,-0.3%
57,Oct '15,-0.2%
58,Sep '15,-1.2%
59,Aug '15,-1.3%
60,Jul '15,-1.3%
61,Jun '15,-1%
62,May '15,-0.4%
