,Year,Population in millions
0,2030*,23.2
1,2029*,23.26
2,2028*,23.32
3,2027*,23.36
4,2026*,23.4
5,2025*,23.44
6,2024*,23.47
7,2023*,23.49
8,2022*,23.51
9,2021*,23.54
10,2020*,23.57
11,2019,23.6
12,2018,23.59
13,2017,23.57
14,2016,23.54
15,2015,23.49
16,2014,23.43
17,2013,23.37
18,2012,23.32
19,2011,23.22
20,2010,23.16
21,2009,23.12
22,2008,23.04
23,2007,22.96
24,2006,22.88
25,2005,22.77
26,2004,22.69
27,2003,22.6
28,2002,22.52
29,2001,22.41
30,2000,22.28
31,1999,22.09
32,1998,21.93
33,1997,21.74
34,1996,21.53
35,1995,21.36
36,1994,21.18
37,1993,21.0
38,1992,20.8
39,1991,20.61
40,1990,20.4
