,State,"Motor vehicle theft rate per 100,000 inhabitants"
0,Alaska,541.9
1,New Mexico,485.8
2,Hawaii,397.7
3,Oregon,395.1
4,California,392.4
5,Nevada,392.3
6,Colorado,380.5
7,District of Columbia,369.1
8,Washington,367.3
9,Oklahoma,337.0
10,Missouri,323.4
11,Tennessee,301.9
12,South Carolina,281.9
13,Kansas,269.4
14,Alabama,268.3
15,Arizona,266.9
16,Montana,263.2
17,Nebraska,252.6
18,Louisiana,247.6
19,Utah,244.5
20,Texas,243.2
21,Arkansas,236.0
22,Georgia,235.4
23,North Dakota,233.5
24,Kentucky,229.6
25,Indiana,229.1
26,United States,228.9
27,Connecticut,206.7
28,Maryland,200.9
29,Florida,193.3
30,Minnesota,180.5
31,Michigan,174.6
32,South Dakota,172.7
33,Ohio,170.3
34,North Carolina,169.8
35,Illinois,153.8
36,Delaware,152.6
37,Iowa,148.5
38,Wisconsin,148.5
39,Wyoming,145.2
40,Rhode Island,144.8
41,Mississippi,144.0
42,West Virginia,139.5
43,Virginia,126.5
44,New Jersey,123.9
45,Idaho,112.0
46,Pennsylvania,102.4
47,Massachusetts,95.7
48,New York,67.2
49,New Hampshire,64.1
50,Maine,58.1
51,Vermont,40.4
