,Month,Rt
0,Dec 19,1.02
1,Dec 18,1.01
2,Dec 17,1.0
3,Dec 16,0.99
4,Dec 15,0.98
5,Dec 14,0.97
6,Dec 13,0.98
7,Dec 12,0.94
8,Dec 11,0.95
9,Dec 10,0.97
10,Dec 9,0.95
11,Dec 8,0.98
12,Dec 7,0.95
13,Dec 6,0.91
14,Dec 5,0.87
15,Dec 4,0.83
16,Dec 3,0.8
17,Dec 2,0.81
18,Dec 1,0.79
19,Nov 30,0.8
20,Nov 29,0.81
21,Nov 28,0.81
22,Nov 27,0.79
23,Nov 26,0.79
24,Nov 25,0.79
25,Nov 24,0.78
26,Nov 23,0.77
27,Nov 22,0.76
28,Nov 21,0.75
29,Nov 20,0.77
30,Nov 19,0.8
31,Nov 18,0.78
32,Nov 17,0.81
33,Nov 16,0.85
34,Nov 15,0.86
35,Nov 14,0.86
36,Nov 13,0.84
37,Nov 12,0.83
38,Nov 11,0.84
39,Nov 10,0.84
40,Nov 09,0.89
41,Nov 08,0.91
42,Nov 07,0.94
43,Nov 06,0.99
44,Nov 05,1.04
45,Nov 04,1.09
46,Nov 03,1.15
47,Nov 02,1.15
48,Nov 01,1.19
49,Oct 31,1.24
50,Oct 30,1.31
51,Oct 29,1.37
52,Oct 28,1.43
53,Oct 27,1.44
54,Oct 26,1.46
55,Oct 25,1.49
56,Oct 24,1.52
57,Oct 23,1.53
58,Oct 22,1.46
59,Oct 21,1.45
60,Oct 20,1.47
61,Oct 19,1.45
62,Oct 18,1.52
63,Oct 17,1.56
64,Oct 16,1.52
65,Oct 15,1.55
66,Oct 14,1.49
67,Oct 13,1.45
68,Oct 12,1.4
69,Oct 11,1.39
70,Oct 10,1.41
71,Oct 09,1.34
72,Oct 08,1.26
73,Oct 07,1.24
74,Oct 06,1.19
75,Oct 05,1.19
76,Oct 04,1.16
77,Oct 03,1.09
78,Oct 02,1.07
79,Oct 01,1.11
80,Sep 30,1.13
81,Sep 29,1.13
82,Sep 28,1.13
83,Sep 27,1.17
84,Sep 26,1.25
85,Sep 25,1.35
86,Sep 24,1.37
87,Sep 23,1.34
88,Sep 22,1.32
89,Sep 21,1.33
90,Sep 20,1.31
91,Sep 19,1.38
92,Sep 18,1.39
93,Sep 17,1.38
94,Sep 16,1.35
95,Sep 15,1.34
96,Sep 14,1.41
97,Sep 13,1.47
98,Sep 12,1.36
99,Sep 11,1.28
100,Sep 10,1.25
101,Sep 09,1.21
102,Sep 08,1.26
103,Sep 07,1.13
104,Sep 06,1.05
105,Sep 05,1.03
106,Sep 04,0.95
107,Sep 03,0.94
108,Sep 02,0.97
109,Sep 01,0.88
110,Aug 31,0.74
111,Aug 30,0.7
112,Aug 29,0.67
113,Aug 28,0.73
114,Aug 27,0.74
115,Aug 26,0.74
116,Aug 25,0.79
117,Aug 24,0.85
118,Aug 23,0.82
119,Aug 22,0.85
120,Aug 21,0.89
121,Aug 20,0.88
122,Aug 19,0.94
123,Aug 18,0.92
124,Aug 17,1.02
125,Aug 16,1.14
126,Aug 15,1.13
127,Aug 14,1.15
128,Aug 13,1.19
129,Aug 12,1.17
130,Aug 11,1.27
131,Aug 10,1.14
132,Aug 09,1.12
133,Aug 08,1.17
134,Aug 07,1.16
135,Aug 06,1.07
136,Aug 05,1.02
137,Aug 04,0.99
138,Aug 03,1.12
139,Aug 02,1.11
140,Aug 01,1.08
141,Jul 31,1.11
142,Jul 30,1.33
143,Jul 29,1.48
144,Jul 28,1.44
145,Jul 27,1.23
146,Jul 26,1.24
147,Jul 25,1.34
148,Jul 24,1.45
149,Jul 23,1.27
150,Jul 22,1.16
151,Jul 21,1.09
152,Jul 20,1.34
153,Jul 19,1.35
154,Jul 18,1.26
155,Jul 17,1.06
156,Jul 16,1.03
157,Jul 15,1.0
158,Jul 14,0.98
159,Jul 13,0.91
160,Jul 12,0.88
161,Jul 11,0.85
162,Jul 10,0.91
163,Jul 09,0.87
164,Jul 08,0.88
165,Jul 07,0.85
166,Jul 06,0.84
167,Jul 05,0.84
168,Jul 04,0.79
169,Jul 03,0.77
170,Jul 02,0.88
171,Jul 01,0.93
172,Jun-30,0.97
173,Jun-29,0.9
174,Jun 28,0.87
175,Jun 27,0.87
176,Jun 26,0.88
177,Jun 25,0.87
178,Jun 24,0.85
179,Jun 23,0.85
180,Jun 22,0.93
181,Jun 21,0.9
182,Jun 20,0.92
183,Jun 19,0.85
184,Jun 18,0.85
185,Jun 17,0.91
186,Jun 16,0.88
187,Jun 15,0.85
188,Jun 14,0.85
189,Jun 13,0.86
190,Jun 12,0.89
191,Jun 11,0.87
192,Jun 10,0.84
193,Jun 09,0.81
194,Jun 08,0.81
195,Jun 07,0.82
196,Jun 06,0.8
197,Jun 05,0.84
198,Jun 04,0.81
199,Jun 03,0.76
200,Jun-02,0.83
201,Jun 01,0.81
202,May 31,0.82
203,May 30,0.78
204,May 29,0.76
205,May 28,0.73
206,May 27,0.78
207,May 26,0.8
208,May 25,0.83
209,May 24,0.82
210,May 23,0.83
211,May 22,0.83
212,May 21,0.88
213,May 20,0.87
214,May 19,0.86
215,May 18,0.85
216,May 17,0.79
217,May 16,0.78
218,May 15,0.78
219,May 14,0.76
220,May 13,0.78
221,May 12,0.77
222,May 11,0.79
223,May 10,0.8
224,May 09,0.74
225,May 08,0.68
226,May 07,0.69
227,May 06,0.69
228,May 05,0.71
229,May 04,0.72
230,May 03,0.7
231,May 02,0.71
232,May 01,0.77
233,Apr 30,0.79
234,Apr 29,0.79
235,Apr 28,0.77
236,Apr 27,0.79
237,Apr 26,0.78
238,Apr 25,0.8
239,Apr 24,0.8
240,Apr 23,0.81
241,Apr 22,0.84
242,Apr 21,0.84
243,Apr 20,0.8
244,Apr 19,0.78
245,Apr 18,0.76
246,Apr 17,0.77
247,Apr 16,0.77
248,Apr 15,0.79
249,Apr 14,0.81
250,Apr 13,0.87
251,Apr 12,0.86
252,Apr 11,0.87
253,Apr 10,0.87
254,Apr 09,0.88
255,Apr 08,0.89
256,Apr 07,0.91
257,Apr 06,0.92
258,Apr 05,0.98
259,Apr 04,1.06
260,Apr 03,1.15
261,Apr 02,1.24
262,Apr 01,1.31
263,Mar 31,1.42
264,Mar 30,1.53
265,Mar 29,1.63
266,Mar 28,1.73
267,Mar 27,1.84
268,Mar 26,1.98
269,Mar 25,2.16
270,Mar 24,2.3
271,Mar 23,2.62
