,Name,Games played
0,Iker Casillas,181
1,Cristiano Ronaldo,171
2,Xavi Hernández,157
3,Ryan Giggs,151
4,Raúl González,144
5,Lionel Messi,140
6,Paolo Maldini,139
7,Andrés Iniesta,132
8,Clarence Seedorf,131
9,Paul Scholes,130
10,Gianluigi Buffon,130
11,Roberto Carlos,128
12,Xabi Alonso,127
13,Zlatan Ibrahimović,123
14,Sergio Ramos,123
15,Carles Puyol,120
16,Karim Benzema,117
17,Andriy Shevchenko,116
18,Gerard Piqué,115
19,Gary Neville,115
20,Thierry Henry,115
21,Andrea Pirlo,115
22,Dani Alves,114
23,Philipp Lahm,114
24,David Beckham,113
25,Arjen Robben,111
26,Patrice Evra,111
27,John Terry,111
28,Petr Čech,111
29,Thomas Müller,111
30,Sergio Busquets,111
31,Víctor Valdés,110
32,Cesc Fàbregas,110
33,Olexandr Shovkovskiy,109
34,Ashley Cole,108
35,Roar Strand,107
36,Oliver Kahn,107
37,Luís Figo,107
38,Frank Lampard,107
39,Manuel Neuer,107
40,Javier Zanetti,105
41,Fernando Morientes,104
42,Toni Kroos,104
43,Alessandro Nesta,101
44,Edwin van der Sar,100
45,Pepe,100
