,Month,Index score (1987=100)
0,Nov 20,293.5
1,Oct 20,294.3
2,Sep 20,294.3
3,Aug 20,293.3
4,Jul 20,294.2
5,Jun 20,292.7
6,May 20,292.2
7,Apr 20,292.6
8,Mar 20,292.6
9,Feb 20,292.0
10,Jan 20,290.6
11,Dec 19,291.9
12,Nov 19,291.0
13,Oct 19,290.4
14,Sep 19,291.0
15,Aug 19,291.7
16,Jul 19,289.5
17,Jun 19,289.6
18,May 19,289.2
19,Apr 19,288.2
20,Mar 19,285.1
21,Feb 19,285.0
22,Jan 19,283.0
23,Dec 18,285.6
24,Nov 18,284.6
25,Oct 18,284.5
26,Sep 18,284.1
27,Aug 18,284.2
28,Jul 18,281.7
29,Jun 18,281.5
30,May 18,280.7
31,Apr 18,279.7
32,Mar 18,278.3
33,Feb 18,278.1
34,Jan 18,276.0
35,Dec 17,278.1
36,Nov 17,275.8
37,Oct 17,275.3
38,Sep 17,275.1
39,Aug 17,274.7
40,Jul 17,272.9
41,Jun 17,272.3
42,May 17,271.7
43,Apr 17,270.6
44,Mar 17,269.3
45,Feb 17,268.4
46,Jan 17,265.5
47,Dec 16,267.1
48,Nov 16,265.5
49,Oct 16,264.8
50,Sep 16,264.9
51,Aug 16,264.4
52,Jul 16,263.4
53,Jun 16,263.1
54,May 16,262.1
55,Apr 16,261.4
56,Mar 16,261.1
57,Feb 16,260.0
58,Jan 16,258.8
59,Dec 15,260.6
60,Nov 15,259.8
61,Oct 15,259.5
62,Sep 15,259.6
63,Aug 15,259.8
64,Jul 15,258.6
65,Jun 15,258.9
66,May 15,258.5
67,Apr 15,258.0
68,Mar 15,257.1
69,Feb 15,256.7
70,Jan 15,255.4
71,Dec 14,257.5
72,Nov 14,257.1
73,Oct 14,257.7
74,Sep 14,257.6
75,Aug 14,257.0
76,Jul 14,256.0
77,Jun 14,256.3
78,May 14,255.9
79,Apr 14,255.7
80,Mar 14,254.8
81,Feb 14,254.2
82,Jan 14,252.6
83,Dec 13,253.4
84,Nov 13,252.1
85,Oct 13,251.9
86,Sep 13,251.9
87,Aug 13,251.0
88,Jul 13,249.7
89,Jun 13,249.7
90,May 13,250.0
91,Apr 13,249.5
92,Mar 13,248.7
93,Feb 13,247.6
94,Jan 13,245.8
95,Dec 12,246.8
96,Nov 12,245.6
97,Oct 12,245.6
98,Sep 12,244.2
99,Aug 12,243.0
100,Jul 12,242.1
101,Jun 12,241.8
102,May 12,242.4
103,Apr 12,242.5
104,Mar 12,240.8
105,Feb 12,239.9
106,Jan 12,238.0
107,Dec 11,239.4
108,Nov 11,238.5
109,Oct 11,238.0
110,Sep 11,237.9
111,Aug 11,236.1
112,Jul 11,234.7
113,Jun 11,235.2
114,May 11,235.2
115,Apr 11,234.4
116,Mar 11,232.5
117,Feb 11,231.3
118,Jan 11,229.0
119,Dec 10,228.4
120,Nov 10,226.8
121,Oct 10,225.8
122,Sep 10,225.3
123,Aug 10,224.5
124,Jul 10,223.6
125,Jun 10,224.1
126,May 10,223.6
127,Apr 10,222.8
128,Mar 10,220.7
129,Feb 10,219.2
130,Jan 10,217.9
131,Dec 09,218.0
132,Nov 09,216.6
133,Oct 09,216.0
134,Sep 09,215.3
135,Aug 09,214.4
136,Jul 09,213.4
137,Jun 09,213.4
138,May 09,212.8
139,Apr 09,211.5
140,Mar 09,211.3
141,Feb 09,211.4
142,Jan 09,210.1
143,Dec 08,212.9
144,Nov 08,216.0
145,Oct 08,217.7
146,Sep 08,218.4
147,Aug 08,217.2
148,Jul 08,216.5
149,Jun 08,216.8
150,May 08,215.1
151,Apr 08,214.0
152,Mar 08,212.1
153,Feb 08,211.4
154,Jan 08,209.8
155,Dec 07,210.9
156,Nov 07,209.7
157,Oct 07,208.9
158,Sep 07,208.0
159,Aug 07,207.3
160,Jul 07,206.1
161,Jun 07,207.3
