,Year,Inflation rate compared to previous year
0,2025*,2.2%
1,2024*,2.2%
2,2023*,2.2%
3,2022*,2.3%
4,2021*,2.8%
5,2020*,0%
6,2019,1%
7,2018,2.1%
8,2017,1.39%
9,2016,2.79%
10,2015,1.85%
11,2014,2.65%
12,2013,3.3%
13,2012,2.77%
14,2011,-0.37%
15,2010,1.97%
16,2009,2.79%
17,2008,3.53%
18,2007,3.25%
19,2006,2.04%
20,2005,2.62%
21,2004,2.25%
22,2003,1.68%
23,2002,-0.5%
24,2001,-1.18%
25,2000,-0.73%
26,1999,-1.26%
27,1998,-0.42%
28,1997,4.6%
29,1996,-0.19%
30,1995,3.14%
31,1994,4%
32,1993,2.6%
33,1992,-0.3%
34,1991,0.9%
35,1990,1.3%
36,1989,1.2%
37,1988,0.2%
38,1987,-1.7%
39,1986,-2.5%
40,1985,-2.4%
