,Telecom Name,Turnover in million NOK
0,Telenor ASA,124756
1,Telenor Norge AS,24669
2,Telia Norge AS,9091
3,Telenor Global Services AS,3128
4,Get AS,2867
5,Eltel Networks AS,2445
6,Canal Digital Norge AS,2157
7,Broadnet Topholding AS,1579
8,Broadnet AS,1424
9,Nextgentel Holding ASA,1359
10,RiksTV AS,1220
11,Phonero AS,1109
12,Viken Fiber Holding AS,1106
13,Norkring AS,995
14,TDC AS,946
15,Telenor Satellite AS,846
16,Fugro Norway AS,702
17,Viasat AS,686
18,Kongsberg Satellite Services AS,618
19,Netel AS,486
