,Year,Inflation rate compared to previous year
0,2024*,5.05%
1,2023*,5.44%
2,2022*,6.19%
3,2021*,7.13%
4,2020*,8.37%
5,2019*,8.78%
6,2018,9.22%
7,2017,11.54%
8,2016,21.73%
9,2015,21.86%
10,2014,23.78%
11,2013,28.28%
12,2012,21.3%
13,2011,7.62%
14,2010,7.41%
15,2009,8.42%
16,2008,8.72%
17,2007,8.52%
18,2006,8.34%
19,2005,8.16%
20,2004,7.98%
21,2003,7.83%
22,2002,7.71%
23,2001,7.64%
24,2000,29.6%
25,1999,44.76%
26,1998,29.78%
27,1997,9.14%
28,1996,37.73%
29,1995,83.15%
30,1994,34.66%
31,1993,22.78%
32,1992,23.24%
33,1991,8.23%
34,1990,11.86%
35,1989,12.45%
36,1988,33.84%
37,1987,25.05%
38,1986,14.18%
39,1985,10.64%
40,1984,19.75%
