,basketball team,Concession stand price in U.S. dollars
0,Phoenix Suns (32),6.25
1,Golden State Warriors (20),6.0
2,Chicago Bulls (24),5.75
3,New York Knicks (24),5.5
4,Los Angeles Lakers (21),5.25
5,Boston Celtics (14),5.0
6,Los Angeles Clippers (16),5.0
7,Portland Trail Blazers (16),5.0
8,Brooklyn Nets (16),5.0
9,Minnessota Timberwolves (24),5.0
10,Miami Heat (24),5.0
11,Sacramento Kings (16),4.75
12,Milwaukee Bucks (20),4.75
13,Denver Nuggets (16),4.5
14,Detroit Pistons (20),4.5
15,Atlanta Hawks (20),4.5
16,Charlotte Bobcats (22),4.5
17,Indiana Pacers (24),4.5
18,NBA league average (19),4.49
19,Toronto Raptors (14),4.36
20,Orlando Magic (16),4.25
21,Houston Rockets (22),4.25
22,New Orleans Pelicans (12),4.0
23,Washington Wizards (16),4.0
24,Philadelphia 76ers (16),4.0
25,Memphis Grizzlies (20),4.0
26,Utah Jazz (22),3.5
27,Cleveland Cavaliers (16),3.0
28,Dallas Mavericks (16),3.0
29,Oklahoma City Thunder (16),3.0
30,San Antonio Spurs (16),2.5
