,companies in the Nordic countries,Number of employees
0,Securitas AB,302055
1,Norsk Sykepleierforbund,151046
2,H & M Hennes & Mauritz AB,126376
3,Nokia Oyj,101731
4,"Ericsson, Telefoni AB LM",94503
5,Volvo AB,90844
6,Medtronic Norge AS,90000
7,A.P. Møller – Mærsk A/S,75813
8,Electrolux AB,54419
9,KONE Oyj,53417
10,Assa Abloy AB,48353
11,Essity AB,45980
12,Scania CV AB,45235
13,Scania AB,45235
14,Volvo Car AB,42908
15,Sandvik AB,42540
16,SKF AB,41559
17,Atlas Copco AB,37805
18,Norsk Hydro ASA,36487
19,Skanska AB,34756
