,Year,Inflation rate compared to previous year
0,2024*,6.98%
1,2023*,6.96%
2,2022*,6.96%
3,2021*,7.16%
4,2020*,7.22%
5,2019*,7.63%
6,2018,7.61%
7,2017,6.22%
8,2016,9.64%
9,2015,8.67%
10,2014,8.88%
11,2013,8.58%
12,2012,8.1%
13,2011,8.09%
14,2010,6.7%
15,2009,7.06%
16,2008,7.88%
17,2007,8.12%
18,2006,6.4%
19,2005,4.7%
20,2004,9.16%
21,2003,19.38%
22,2002,13.97%
23,2001,4.37%
24,2000,4.76%
25,1999,5.66%
26,1998,10.81%
27,1997,19.82%
28,1996,28.34%
29,1995,42.25%
30,1994,44.74%
31,1993,54.08%
32,1992,68.46%
33,1991,101.97%
34,1990,112.53%
35,1989,80.45%
36,1988,62.19%
37,1987,63.57%
38,1986,76.38%
39,1985,72.22%
40,1984,55.31%
