,Year,Gross domestic product in billion international dollars
0,2021*,1183.26
1,2020*,1064.8
2,2019,1076.37
3,2018,1014.02
4,2017,945.09
5,2016,877.25
6,2015,831.27
7,2014,783.47
8,2013,725.65
9,2012,681.17
10,2011,633.66
11,2010,589.49
12,2009,541.91
13,2008,546.07
14,2007,510.96
15,2006,468.11
16,2005,430.33
17,2004,397.55
18,2003,362.54
19,2002,336.45
20,2001,314.27
21,2000,305.94
22,1999,275.37
23,1998,255.77
24,1997,273.02
25,1996,250.07
26,1995,223.24
27,1994,199.09
28,1993,178.48
29,1992,158.65
30,1991,142.46
31,1990,125.79
32,1989,111.23
33,1988,98.14
34,1987,86.23
35,1986,79.85
36,1985,77.38
37,1984,75.67
