,Year,Male,Female
0,China (2008),56,38
1,Turkey (2006),52,28
2,Korea (2009),74,-
3,Mexico (2009),49,24
4,South Africa (2010),44,29
5,Japan (2011),50,21
6,Italy (2008),43,25
7,India (1999),44,18
8,Canada (2010),36,25
9,Hungary (1999-2000),32,28
10,Norway (2010),33,26
11,Estonia (2009-2010),30,29
12,Austria (2008-09),34,25
13,Netherlands (2005-06),34,22
14,Belgium (2005),31,23
15,Germany (2001-02),34,19
16,Portugal (1999),32,20
17,Poland (2003-04),30,22
18,Slovenia (2000-01),28,22
19,Australia (2006),31,18
20,New Zealand (2009-10),29,18
21,Denmark (2001),29,18
22,Ireland (2005),26,20
23,France (2009),26,19
24,United Kingdom (2005),28,16
25,United States (2014),25,17
26,Spain (2009-10),26,16
27,Finland (2009-10),21,20
28,Sweden (2010),21,19
