,Month,Inflation rate
0,Jul '20,3.1%
1,Jun '20,3.1%
2,May '20,5.1%
3,Apr '20,5.1%
4,Mar '20,4.6%
5,Feb '20,4%
6,Jan '20,3.4%
7,Dec '19,3.3%
8,Nov '19,2.4%
9,Oct '19,1.5%
10,Sep '19,1.7%
11,Aug '19,2.9%
12,Jul '19,2.9%
13,Jun '19,2.2%
14,May '19,0.7%
15,Apr '19,0.5%
16,Mar '19,-0.2%
17,Feb '19,0.4%
18,Jan '19,0.8%
19,Dec '18,0.6%
20,Nov '18,1.9%
21,Oct '18,2.7%
22,Sep '18,2.5%
23,Aug '18,2.8%
24,Jul '18,2.5%
25,Jun '18,3.3%
26,May '18,3.4%
27,Apr '18,3.7%
28,Mar '18,3.6%
29,Feb '18,2.4%
30,Jan '18,2.9%
31,Dec '17,2.9%
32,Nov '17,2.7%
33,Oct '17,1.7%
34,Sep '17,2%
35,Aug '17,1.4%
36,Jul '17,1.5%
37,Jun '17,1.3%
38,May '17,2.6%
39,Apr '17,1.8%
40,Mar '17,2.4%
41,Feb '17,3.6%
42,Jan '17,2.8%
43,Dec '16,1.7%
44,Nov '16,1.3%
45,Oct '16,2.1%
46,Sep '16,1.1%
47,Aug '16,1.4%
48,Jul '16,1.3%
49,Jun '16,1.1%
50,May '16,-0.2%
51,Apr '16,-0.2%
52,Mar '16,0.4%
53,Feb '16,0.5%
54,Jan '16,0.4%
55,Dec '15,1.5%
56,Nov '15,1%
57,Oct '15,1.1%
58,Sep '15,1.2%
59,Aug '15,1.8%
60,Jul '15,1.4%
61,Jun '15,1.2%
