,Year,Federal,State
0,2018*,393.0,236.3
1,2017*,370.6,221.6
2,2016,364.5,212.7
3,2015,346.0,203.1
4,2014,299.3,195.4
5,2013,263.0,193.0
6,2012,248.8,182.2
7,2011,270.5,156.4
8,2010,269.8,131.7
9,2009,246.3,132.3
10,2008,200.2,151.7
11,2007,189.0,143.2
12,2006,179.3,135.8
13,2005,180.4,135.5
14,2004,175.0,121.3
15,2003,161.0,115.1
16,2002,146.6,111.6
17,2001,129.8,99.2
18,2000,117.0,89.2
19,1995,90.7,68.8
20,1990,40.9,31.3
21,1985,22.8,18.4
22,1980,14.0,11.2
23,1975,7.3,5.9
24,1970,2.8,2.3
25,1966,0.5,0.4
