,Country,Index value in points
0,Singapore,93.63
1,Netherlands,89.58
2,Belgium,87.89
3,Ireland,87.81
4,Luxembourg,87.36
5,United Arab Emirates,86.9
6,Switzerland,86.41
7,Malta,86.15
8,Cyprus,85.77
9,Estonia,85.62
10,"Hong Kong SAR, China",84.67
11,Denmark,84.35
12,Sweden,83.59
13,Finland,83.09
14,Czech Republic,82.69
15,Austria,82.68
16,Mauritius,82.65
17,Slovak Republic,82.52
18,Hungary,81.98
19,Bahrain,81.96
20,United Kingdom,81.91
21,Latvia,81.54
22,Georgia,81.03
23,Germany,80.6
24,Portugal,80.38
25,Lithuania,79.54
26,France,79.21
27,Montenegro,77.88
28,Seychelles,77.62
29,Slovenia,77.48
30,Norway,77.31
31,Spain,77.29
32,Qatar,76.54
33,Malaysia,76.38
34,Bulgaria,75.21
35,Croatia,74.84
36,Greece,73.8
37,Cayman Islands,73.38
38,Kuwait,73.01
39,Poland,72.84
40,Serbia,72.66
41,Azerbaijan,72.04
42,Panama,71.8
43,Romania,71.71
44,Italy,71.01
45,Canada,70.98
46,Israel,70.86
47,"Micronesia, Fed Sts",70.49
48,North Macedonia,70.26
49,Armenia,69.98
50,Iceland,69.4
51,Jordan,69.31
52,Oman,69.21
53,Albania,68.7
54,Lebanon,68.63
55,Kiribati,68.58
56,Australia,67.73
57,Japan,67.72
58,United States,67.68
59,New Zealand,67.44
60,Cambodia,67.31
61,Brunei Darussalam,67.11
62,Djibouti,66.71
63,Chile,66.66
64,Thailand,66.47
65,Ukraine,66.01
66,Bermuda,64.66
67,Maldives,64.59
68,Marshall Islands,64.22
69,Vanuatu,64.03
70,Moldova,63.99
71,Saudi Arabia,63.99
72,Costa Rica,63.94
73,Equatorial Guinea,63.63
74,"Korea, Rep",63.01
75,Mozambique,62.8
76,Mongolia,62.66
77,Nicaragua,62.13
78,"Macao SAR, China",62.07
79,Trinidad and Tobago,62.0
80,Belarus,61.79
81,Uruguay,61.63
82,Jamaica,61.4
83,Antigua and Barbuda,61.25
84,Peru,61.15
85,Vietnam,61.06
86,Bosnia and Herzegovina,61.04
87,Mexico,60.0
88,St Lucia,59.9
89,Timor-Leste,59.68
90,Aruba,59.51
91,Morocco,59.48
92,Kyrgyz Republic,59.18
93,Papua New Guinea,58.83
94,Tunisia,57.92
95,El Salvador,57.83
96,Cabo Verde,57.75
97,Barbados,57.63
98,Belize,57.35
99,Philippines,57.22
