,Industry,Real value added in million chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",78.58
1,Government and government enterprises,74.42
2,Professional and business services,57.8
3,"Educational services, health care, and social assistance",34.58
4,Manufacturing,23.06
5,Retail trade,19.77
6,Information,18.82
7,Wholesale trade,16.27
8,Construction,14.24
9,"Arts, entertainment, recreation, accommodation, and food services",13.35
10,Other services (except government and government enterprises),8.05
11,Transportation and warehousing,7.64
12,Utilities,6.6
13,"Agriculture, forestry, fishing, and hunting",1.37
14,"Mining, quarrying, and oil and gas extraction",0.39
